Column1;country;points;price;province;region_1;variety;winery
769;Italy;89;1100;Tuscany;Toscana;Cabernet Franc;Tenuta Sette Cieli
774;Italy;89;900;Tuscany;Toscana;Red Blend;Castellare di Castellina
780;Italy;87;500;Tuscany;Brunello di Montalcino;Sangiovese;Corte dei Venti
781;Italy;87;870;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta Vitanza
791;Italy;87;200;Tuscany;Bolgheri;Red Blend;I Greppi
810;Italy;90;220;Sicily & Sardinia;Noto;Moscato;Planeta
824;Italy;90;360;Sicily & Sardinia;Etna;Nerello Mascalese;Girolamo Russo
856;Italy;90;560;Tuscany;Brunello di Montalcino;Sangiovese;Corte dei Venti
860;Italy;90;250;Tuscany;Chianti Classico;Red Blend;Il Brunone
862;Italy;90;220;Tuscany;Chianti Classico;Sangiovese;Luiano
863;Italy;90;200;Tuscany;Chianti Classico;Red Blend;Villa Mangiacane
865;Italy;90;300;Tuscany;Vino Nobile di Montepulciano;Red Blend;Salcheto
866;Italy;90;180;Tuscany;Chianti Classico;Red Blend;Vignavecchia
867;Italy;90;220;Tuscany;Chianti Classico;Sangiovese;Villa a Sesta
868;Italy;90;280;Tuscany;Chianti Classico;Red Blend;Castello della Paneretta
874;Italy;92;1130;Piedmont;Barbaresco;Nebbiolo;Ca'Romè
876;Italy;92;920;Piedmont;Barolo;Nebbiolo;Conterno Fantino
877;Italy;92;750;Piedmont;Barolo;Nebbiolo;Rivetto
880;Italy;92;490;Piedmont;Alta Langa;Pinot Nero;Tosti
881;Italy;92;190;Piedmont;Barbaresco;Nebbiolo;Veglio
897;Italy;92;400;Italy Other;Vino da Tavola;White Blend;Frank Cornelissen
898;Italy;92;5000;Piedmont;Langhe;Red Blend;Gaja
930;Italy;89;900;Tuscany;Toscana;Red Blend;Castellare di Castellina
944;Italy;89;270;Lombardy;Valtellina Superiore;Red Blend;Nino Negri
946;Italy;89;220;Tuscany;Toscana;Red Blend;Leopoldo I di Toscana
949;Italy;89;650;Tuscany;Toscana;Cabernet Sauvignon;Petra
951;Italy;89;520;Tuscany;Toscana;Red Blend;Rocca delle Macìe
954;Italy;89;2400;Tuscany;Toscana;Red Blend;Tenuta di Trinoro
955;Italy;89;350;Tuscany;Toscana;Red Blend;Tenuta Sette Ponti
965;Italy;90;380;Piedmont;Barbera d'Alba;Barbera;Rivetto
971;Italy;90;700;Piedmont;Barolo;Nebbiolo;Tenuta Duecorti
978;Italy;90;420;Piedmont;Barolo;Nebbiolo;Cascina Luisin
980;Italy;90;1100;Piedmont;Barolo;Nebbiolo;Borgogno Giacomo e Figli
981;Italy;90;1030;Piedmont;Barbaresco;Nebbiolo;Ca'Romè
982;Italy;90;1000;Piedmont;Barbaresco;Nebbiolo;Ceretto
983;Italy;90;400;Piedmont;Barolo;Nebbiolo;Luigi Pira
984;Italy;90;680;Piedmont;Barolo;Nebbiolo;Reverdito
986;Italy;90;520;Piedmont;Barolo;Nebbiolo;Vietti
1039;Italy;91;260;Lombardy;Lugana;Turbiana;Olivini
1042;Italy;91;300;Tuscany;Toscana;Red Blend;Campo di Sasso
1050;Italy;88;600;Piedmont;Barolo;Nebbiolo;460 Casina Bric
1051;Italy;88;560;Piedmont;Barolo;Nebbiolo;Anna Maria Abbona
1063;Italy;88;280;Piedmont;Barolo;Nebbiolo;Natale Verga
1096;Italy;87;240;Tuscany;Bolgheri;White Blend;Giorgio Meletti Cavallari
1108;Italy;87;230;Tuscany;Maremma Toscana;Sangiovese;Perazzeta
1141;Italy;90;700;Tuscany;Brunello di Montalcino;Sangiovese;Le Macioche
1148;Italy;90;850;Tuscany;Brunello di Montalcino;Sangiovese;Poggio Nardone
1153;Italy;90;800;Tuscany;Brunello di Montalcino;Sangiovese;San Polo
1160;Italy;90;220;Tuscany;Chianti Classico;Sangiovese;Luiano
1161;Italy;90;200;Tuscany;Chianti Classico;Red Blend;Villa Mangiacane
1163;Italy;90;300;Tuscany;Vino Nobile di Montepulciano;Red Blend;Salcheto
1164;Italy;90;180;Tuscany;Chianti Classico;Red Blend;Vignavecchia
1165;Italy;90;220;Tuscany;Chianti Classico;Sangiovese;Villa a Sesta
1194;Italy;93;800;Southern Italy;Irpinia;Aglianico;Feudi di San Gregorio
1204;Italy;90;440;Piedmont;Barbaresco;Nebbiolo;Cantina del Pino
1214;Italy;90;1020;Piedmont;Barolo;Nebbiolo;Luigi Oddero & Figli
1215;Italy;90;800;Piedmont;Barbaresco;Nebbiolo;Marchesi di Barolo
1216;Italy;90;350;Piedmont;Barolo;Nebbiolo;Mauro Sebaste
1217;Italy;90;550;Piedmont;Barolo;Nebbiolo;Mauro Veglio
1218;Italy;90;500;Piedmont;Barolo;Nebbiolo;Montaribaldi
1223;Italy;90;700;Piedmont;Barolo;Nebbiolo;Pietro Rinaldi
1224;Italy;90;600;Piedmont;Barolo;Nebbiolo;Pio Cesare
1243;Italy;92;340;Piedmont;Barbaresco;Nebbiolo;Adriano Marco & Vittorio
1244;Italy;92;550;Piedmont;Barbaresco;Nebbiolo;Albino Rocca
1258;Italy;92;650;Piedmont;Barbaresco;Nebbiolo;Castello di Neive
1286;Italy;85;100;Veneto;Veronese;White Blend;Amatore
1298;Italy;87;550;Tuscany;Brunello di Montalcino;Sangiovese;Camigliano
1300;Italy;87;420;Tuscany;Bolgheri;Red Blend;Tenuta Sette Cieli
1308;Italy;87;750;Tuscany;Bolgheri Superiore;Red Blend;Donne Fittipaldi
1311;Italy;87;400;Tuscany;Bolgheri Superiore;Red Blend;Aia Vecchia
1321;Italy;89;320;Tuscany;Toscana;Red Blend;Amantis
1338;Italy;88;170;Tuscany;Toscana;Red Blend;Marchesi de' Frescobaldi
1339;Italy;88;350;Lombardy;Terrazze Retiche di Sondrio;Red Blend;Nera
1352;Italy;91;250;Lombardy;Lugana;Turbiana;Le Morette
1377;Italy;91;240;Lombardy;Lugana;Turbiana;Ca' Lojera
1386;Italy;88;500;Piedmont;Barolo;Nebbiolo;Rattalino
1388;Italy;88;800;Piedmont;Barolo;Nebbiolo;Andrea Oberto
1399;Italy;88;550;Piedmont;Barbaresco;Nebbiolo;Ca' del Baio
1407;Italy;88;350;Piedmont;Barolo;Nebbiolo;Reverdito
1410;Italy;90;240;Sicily & Sardinia;Etna;Carricante;Cottanera
1415;Italy;90;210;Southern Italy;Fiano di Avellino;Fiano;Feudi di San Gregorio
1425;Italy;90;390;Sicily & Sardinia;Etna;Red Blend;Tornatore
1441;Italy;90;600;Tuscany;Brunello di Montalcino;Sangiovese;Carpineto
1444;Italy;90;850;Tuscany;Brunello di Montalcino;Sangiovese;Cordella
1461;Italy;90;280;Tuscany;Chianti Classico;Red Blend;Castello della Paneretta
1475;Italy;90;440;Piedmont;Barbaresco;Nebbiolo;Cantina del Pino
1479;Italy;90;460;Piedmont;Barolo;Nebbiolo;Beni di Batasiolo
1483;Italy;90;250;Piedmont;Barbera d'Alba;Barbera;Cascina delle Rose
1491;Italy;90;350;Piedmont;Roero;Nebbiolo;Deltetto
1533;Italy;85;100;Veneto;Veronese;White Blend;Amatore
1534;Italy;85;1490;Tuscany;Brunello di Montalcino;Sangiovese;Paradiso di Frassina
1594;Italy;87;200;Tuscany;Bolgheri;White Blend;Campo al Mare
1598;Italy;87;1400;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta di Sesta
1599;Italy;87;600;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta La Fuga
1600;Italy;87;250;Tuscany;Bolgheri;Red Blend;Terre del Marchesato
1601;Italy;87;500;Tuscany;Brunello di Montalcino;Sangiovese;Agostina Pieri
1602;Italy;87;1380;Tuscany;Brunello di Montalcino;Sangiovese;Castelgiocondo
1603;Italy;87;550;Tuscany;Brunello di Montalcino;Sangiovese;Colombaio
1623;Italy;90;250;Tuscany;Chianti Classico;Red Blend;Fattoria La Ripa
1632;Italy;90;160;Tuscany;Chianti Classico;Red Blend;Castellinuzza e Piuca
1638;Italy;90;190;Lombardy;Lugana;Turbiana;Tenuta Roveglia
1656;Italy;88;650;Tuscany;Toscana;Merlot;Petra
1657;Italy;88;190;Tuscany;Toscana;Red Blend;Pietro Beconcini
1658;Italy;88;280;Tuscany;Toscana;Red Blend;Pieve Santo Stefano
1662;Italy;88;1200;Tuscany;Toscana;Merlot;Tenuta Villa Trasqua
1670;Italy;88;220;Tuscany;Toscana;Ciliegiolo;Cesani
1673;Italy;88;1100;Tuscany;Toscana;Merlot;Castellare di Castellina
1674;Italy;88;260;Tuscany;Toscana;Red Blend;Argiano
1747;Italy;90;800;Tuscany;Brunello di Montalcino;Sangiovese;Le Gode
1748;Italy;90;500;Tuscany;Maremma Toscana;Red Blend;Mazzei
1753;Italy;90;1200;Tuscany;Brunello di Montalcino;Sangiovese;Seconda Stella a Destra
1757;Italy;90;590;Tuscany;Brunello di Montalcino;Sangiovese;Uccelliera
1759;Italy;90;660;Tuscany;Brunello di Montalcino;Sangiovese;Argiano
1769;Italy;90;550;Tuscany;Brunello di Montalcino;Sangiovese;Donna Olga
1780;Italy;92;700;Northeastern Italy;Collio;Sauvignon;Borgo del Tiglio
1787;Italy;92;230;Southern Italy;Campania;Sirica;Feudi di San Gregorio
1789;Italy;92;400;Southern Italy;Taurasi;Aglianico;I Favati
1803;Italy;90;600;Piedmont;Barolo;Nebbiolo;Giacomo Grimaldi
1804;Italy;90;900;Piedmont;Barolo;Nebbiolo;Chiara Boschis - E. Pira e Figli
1816;Italy;90;750;Piedmont;Barolo;Nebbiolo;Virna Borgogno
1822;Italy;90;240;Piedmont;Coste della Sesia;Red Blend;La Prevostura
1824;Italy;90;270;Piedmont;Barbera d'Alba;Barbera;Palladino
1826;Italy;90;420;Piedmont;Barolo;Nebbiolo;Villadoria
1875;Italy;91;650;Piedmont;Barbaresco;Nebbiolo;Produttori del Barbaresco
1918;Italy;87;300;Tuscany;Bolgheri;Red Blend;Caccia al Piano 1868
1923;Italy;90;250;Northeastern Italy;Alto Adige;Sauvignon;Elena Walch
1924;Italy;90;180;Northeastern Italy;Alto Adige;Gewürztraminer;Erste Neue
1925;Italy;90;190;Northeastern Italy;Alto Adige;Sauvignon;Erste Neue
1927;Italy;90;250;Northeastern Italy;Alto Adige;Pinot Grigio;Kellerei Kaltern Caldaro
1937;Italy;90;200;Lombardy;Lugana;Turbiana;CàMaiol
1945;Italy;90;200;Northeastern Italy;Alto Adige;Pinot Grigio;Abbazia di Novacella
1948;Italy;90;420;Northeastern Italy;Friuli Isonzo;Chardonnay;Vie di Romans
1953;Italy;88;200;Tuscany;Toscana;Red Blend;Altesino
1968;Italy;88;350;Tuscany;Toscana;Red Blend;Olivi
1969;Italy;88;220;Tuscany;Toscana;Tempranillo;Pietro Beconcini
1970;Italy;88;200;Tuscany;Toscana;Red Blend;Poggio al Tesoro
1973;Italy;88;500;Tuscany;Toscana;Pugnitello;San Felice
1985;Italy;88;900;Piedmont;Barolo;Nebbiolo;Marchesi di Barolo
1986;Italy;88;580;Piedmont;Barolo;Nebbiolo;Mario Marengo
1998;Italy;88;990;Piedmont;Barolo;Nebbiolo;Camparo
2000;Italy;88;750;Piedmont;Barolo;Nebbiolo;Cascina Chicco
2029;Italy;90;200;Sicily & Sardinia;Sicilia;Grillo;Cusumano
2034;Italy;90;200;Sicily & Sardinia;Etna;White Blend;Tenuta delle Terre Nere
2036;Italy;90;190;Sicily & Sardinia;Etna;Rosato;Tornatore
2039;Italy;90;300;Sicily & Sardinia;Etna;Nerello Mascalese;Graci
2049;Italy;92;450;Southern Italy;Aglianico del Vulture;Aglianico;D'Angelo
2076;Italy;90;280;Tuscany;Chianti Classico;Sangiovese;Tenuta Villa Trasqua
2077;Italy;90;250;Tuscany;Chianti Classico;Sangiovese;Villa Calcinaia
2079;Italy;90;350;Tuscany;Chianti Classico;Red Blend;Fattoria di Valiano
2084;Italy;89;370;Tuscany;Vino Nobile di Montepulciano;Red Blend;Tenute del Cerro
2089;Italy;89;180;Tuscany;Chianti Classico;Red Blend;I Fabbri
2097;Italy;89;650;Tuscany;Maremma Toscana;Syrah;Fattoria di Magliano
2098;Italy;89;480;Tuscany;Brunello di Montalcino;Sangiovese;Fattoria La Lecciaia
2122;Italy;90;550;Piedmont;Barolo;Nebbiolo;Mauro Veglio
2125;Italy;90;290;Piedmont;Barolo;Nebbiolo;Oddero
2127;Italy;90;1030;Piedmont;Barolo;Nebbiolo;Poderi Luigi Einaudi
2146;Italy;99;2000;Tuscany;Brunello di Montalcino;Sangiovese;Il Marroneto
2147;Italy;98;950;Tuscany;Brunello di Montalcino;Sangiovese;Conti Costanti
2150;Italy;97;1250;Tuscany;Brunello di Montalcino;Sangiovese;Altesino
2160;Italy;87;300;Tuscany;Bolgheri;Red Blend;Caccia al Piano 1868
2186;Italy;86;500;Tuscany;Brunello di Montalcino;Sangiovese;La Colombina
2187;Italy;86;850;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta Vitanza
2191;Italy;88;250;Italy Other;Vino da Tavola;White Blend;Tenuta di Fiorano
2206;Italy;88;250;Tuscany;Toscana;Syrah;Leopoldo I di Toscana
2210;Italy;88;150;Tuscany;Toscana;Red Blend;Mazzei
2212;Italy;88;1750;Tuscany;Toscana;Red Blend;Monteverro
2215;Italy;88;170;Tuscany;Toscana;Red Blend;Rocca delle Macìe
2216;Italy;88;300;Tuscany;Toscana;Sangiovese;Sator
2219;Italy;88;160;Tuscany;Toscana;Red Blend;Tenuta Villa Trasqua
2224;Italy;90;270;Northeastern Italy;Alto Adige;Sauvignon;Nals Margreid
2233;Italy;90;160;Northeastern Italy;Alto Adige;Pinot Bianco;Nals Margreid
2234;Italy;90;170;Lombardy;Lugana;Turbiana;Ca' Lojera
2236;Italy;90;300;Tuscany;Bolgheri;Red Blend;Ceralti
2246;Italy;90;340;Veneto;Veronese;Trebbiano;Suavia
2259;Italy;87;690;Piedmont;Barolo;Nebbiolo;Giacomo Grimaldi
2289;Italy;91;650;Piedmont;Barolo;Nebbiolo;Ciabot Berton
2293;Italy;91;1050;Piedmont;Barolo;Nebbiolo;Viberti
2309;Italy;91;900;Piedmont;Barolo;Nebbiolo;Domenico Clerico
2313;Italy;90;550;Piedmont;Barolo;Nebbiolo;Mauro Veglio
2316;Italy;90;290;Piedmont;Barolo;Nebbiolo;Oddero
2318;Italy;90;1030;Piedmont;Barolo;Nebbiolo;Poderi Luigi Einaudi
2321;Italy;90;530;Piedmont;Barolo;Nebbiolo;Agostino Bosco
2322;Italy;90;700;Piedmont;Barolo;Nebbiolo;Cantina del Nebbiolo
2323;Italy;90;1100;Piedmont;Barolo;Nebbiolo;Ceretto
2324;Italy;90;450;Piedmont;Barolo;Nebbiolo;Borgogno F.lli Serio e Battista
2326;Italy;90;800;Piedmont;Barolo;Nebbiolo;Cascina Bruciata
2331;Italy;90;570;Piedmont;Barolo;Nebbiolo;Brovia
2375;Italy;90;250;Southern Italy;Sannio;Fiano;Fattoria La Rivolta
2376;Italy;90;210;Southern Italy;Greco di Tufo;Greco;Feudi di San Gregorio
2380;Italy;90;270;Sicily & Sardinia;Terre Siciliane;Perricone;Caruso & Minini
2382;Italy;90;200;Sicily & Sardinia;Etna;White Blend;Tenuta delle Terre Nere
2390;Italy;90;200;Southern Italy;Falanghina del Sannio;Falanghina;Mustilli
2394;Italy;90;170;Sicily & Sardinia;Etna;Nerello Mascalese;Cottanera
2400;Italy;89;600;Tuscany;Brunello di Montalcino;Sangiovese;Fornacina
2404;Italy;89;650;Tuscany;Brunello di Montalcino;Sangiovese;La Rasina
2413;Italy;89;600;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta San Giorgio
2414;Italy;89;1200;Tuscany;Brunello di Montalcino;Sangiovese;Val di Suga
2421;Italy;89;200;Tuscany;Chianti Classico;Sangiovese;Querceto di Castellina
2424;Italy;89;700;Tuscany;Brunello di Montalcino;Sangiovese;Canalicchio Franco Pacenti
2425;Italy;89;450;Tuscany;Brunello di Montalcino;Sangiovese;Castiglion del Bosco
2449;Italy;96;500;Tuscany;Brunello di Montalcino;Sangiovese;Baricci
2452;Italy;96;850;Tuscany;Brunello di Montalcino;Sangiovese;Le Potazzine
2464;Italy;86;180;Tuscany;Bolgheri;Red Blend;Ceralti
2472;Italy;86;440;Tuscany;Brunello di Montalcino;Sangiovese;Collelceto
2473;Italy;86;500;Tuscany;Brunello di Montalcino;Sangiovese;La Colombina
2475;Italy;86;850;Tuscany;Brunello di Montalcino;Sangiovese;Tenuta Vitanza
2498;Italy;88;290;Tuscany;Toscana;Red Blend;Diadema
2514;Italy;88;370;Tuscany;Toscana;Sangiovese;Pietro Beconcini
2518;Italy;88;300;Tuscany;Toscana;Ciliegiolo;Sator
2529;Italy;91;400;Piedmont;Barbaresco;Nebbiolo;Rivetto
2550;Italy;90;160;Northeastern Italy;Alto Adige;Pinot Bianco;Nals Margreid
2556;Italy;90;190;Northeastern Italy;Alto Adige;Sauvignon;Kössler
2564;Italy;90;160;Northeastern Italy;Alto Adige;Pinot Grigio;Nals Margreid
2574;Italy;90;290;Northeastern Italy;Alto Adige;Pinot Bianco;St. Pauls
2575;Italy;90;180;Northeastern Italy;Alto Adige;Pinot Grigio;St. Pauls
2576;Italy;90;190;Veneto;Soave Classico;Garganega;Suavia
2577;Italy;90;300;Northeastern Italy;Alto Adige;Pinot Bianco;Tiefenbrunner
2613;Italy;87;900;Piedmont;Barolo;Nebbiolo;Parusso
2631;Italy;87;700;Piedmont;Barolo;Nebbiolo;Cascina Bruciata
2638;Italy;87;500;Piedmont;Barolo;Nebbiolo;Renato Ratti
2643;Italy;89;600;Tuscany;Brunello di Montalcino;Sangiovese;Paradisone
2645;Italy;89;440;Tuscany;Maremma Toscana;Sangiovese;Poggio Verrano
2659;Italy;89;700;Tuscany;Brunello di Montalcino;Sangiovese;Canalicchio Franco Pacenti
2660;Italy;89;450;Tuscany;Brunello di Montalcino;Sangiovese;Castiglion del Bosco
2670;Italy;90;1600;Piedmont;Barolo;Nebbiolo;Elio Grasso
2677;Italy;90;1050;Piedmont;Barolo;Nebbiolo;Marchesi di Barolo
2679;Italy;90;380;Piedmont;Barbaresco;Nebbiolo;Musso
2693;Italy;90;550;Piedmont;Nebbiolo d'Alba;Nebbiolo;Sandrone
2694;Italy;90;200;Piedmont;Colline Novaresi;Nebbiolo;Gilberto Boniperti
2705;Italy;89;140;Sicily & Sardinia;Sicilia;Grillo;Tenuta Rapitalà
2706;Italy;89;300;Southern Italy;Fiano di Avellino;Fiano;Villa Raiano
2720;Italy;89;190;Southern Italy;Greco di Tufo;Greco;Villa Matilde
2724;Italy;89;300;Sicily & Sardinia;Sicilia;Catarratto;Castellucci Miano
2732;Italy;96;650;Tuscany;Brunello di Montalcino;Sangiovese;Le Chiuse
2741;Italy;95;650;Tuscany;Brunello di Montalcino;Sangiovese;Abbadia Ardenga
2747;Italy;95;950;Tuscany;Brunello di Montalcino;Sangiovese;Fuligni
2748;Italy;95;800;Tuscany;Brunello di Montalcino;Sangiovese;Il Marroneto
2749;Italy;95;1200;Tuscany;Brunello di Montalcino;Sangiovese;Ridolfi
2752;Italy;95;750;Tuscany;Brunello di Montalcino;Sangiovese;L'Aietta
2756;Italy;95;700;Tuscany;Brunello di Montalcino;Sangiovese;Ciacci Piccolomini d'Aragona
2757;Italy;95;900;Tuscany;Brunello di Montalcino;Sangiovese;Ciacci Piccolomini d'Aragona
2765;Italy;86;240;Tuscany;Bolgheri;Red Blend;Giorgio Meletti Cavallari
2777;Italy;86;240;Tuscany;Bolgheri;Red Blend;Guado al Melo
2809;Italy;91;290;Southern Italy;Greco di Tufo;Greco;Bambinuto
2810;Italy;91;400;Southern Italy;Aglianico del Vulture;Aglianico;Bisceglia
2821;Italy;89;900;Tuscany;Brunello di Montalcino;Sangiovese;La Magia
2827;Italy;89;650;Tuscany;Brunello di Montalcino;Sangiovese;Palazzo
2829;Italy;89;150;Tuscany;Maremma Toscana;Red Blend;Pepi Lignana
2831;Italy;89;490;Tuscany;Maremma Toscana;Red Blend;Poggio Verrano
