Vintage;Country;County;Points;Price;Province
01/01/2002;Italy;Franciacorta;90;88;Lombardy
01/01/2002;France;Champagne;85;200;Champagne
01/01/2002;Italy;Delle Venezie;87;22;Northeastern Italy
01/01/2002;Italy;Soave;87;11;Veneto
01/01/2002;France;Vin de Pays d Oc;82;8;Languedoc Roussillon
01/01/2002;Italy;Trentino;89;35;Northeastern Italy
01/01/2002;France;Côtes de Saint Mont;84;42;Southwest France
01/01/2002;Italy;Cerasuolo di Vittoria;90;50;Sicily & Sardinia
01/01/2002;France;Champagne;92;80;Champagne
01/01/2002;Italy;Trento;91;30;Northeastern Italy
01/01/2002;Italy;Veneto;90;34;Veneto
01/01/2002;France;Champagne;91;65;Champagne
01/01/2003;Italy;Toscana;93;95;Tuscany
01/01/2003;France;Madiran;92;30;Southwest France
01/01/2003;Italy;Toscana;89;35;Tuscany
01/01/2003;Italy;Salice Salentino;88;16;Southern Italy
01/01/2003;Italy;Barolo;92;70;Piedmont
01/01/2003;Italy;Vernaccia di San Gimignano;89;16;Tuscany
01/01/2003;Italy;Colline Teatine;91;50;Central Italy
01/01/2003;Italy;Piave;89;25;Veneto
01/01/2003;France;Champagne;90;75;Champagne
01/01/2003;Italy;Aglianico del Vulture;88;42;Southern Italy
01/01/2003;Italy;Salice Salentino;86;17;Southern Italy
01/01/2003;Italy;Toscana;86;50;Tuscany
01/01/2003;Italy;Umbria;93;50;Central Italy
01/01/2003;France;Haut Médoc;86;32;Bordeaux
01/01/2003;Italy;Sicilia;90;50;Sicily & Sardinia
01/01/2003;Italy;Toscana;92;60;Tuscany
01/01/2003;Italy;Sicilia;91;40;Sicily & Sardinia
01/01/2003;Italy;Val di Cornia Suvereto;90;30;Tuscany
01/01/2003;Italy;Valpolicella Superiore;87;25;Veneto
01/01/2003;France;Muscadet Côtes de Grandlieu;91;20;Loire Valley
01/01/2003;Italy;Maremma;92;60;Tuscany
01/01/2003;Italy;Biferno Rosso;89;26;Southern Italy
01/01/2003;Italy;Chianti Classico;89;30;Tuscany
01/01/2003;Italy;Lago di Corbara;91;30;Central Italy
01/01/2003;Italy;Toscana;90;50;Tuscany
01/01/2003;Italy;Amarone della Valpolicella Classico;92;75;Veneto
01/01/2003;France;Les Baux de Provence;86;24;Provence
01/01/2003;Italy;Rosso del Veronese;90;45;Veneto
01/01/2003;France;Coteaux d Aix en Provence;89;80;Provence
01/01/2003;Italy;Toscana;86;50;Tuscany
01/01/2003;Italy;Amarone della Valpolicella;89;85;Veneto
01/01/2003;Italy;Barbaresco;88;29;Piedmont
01/01/2003;Italy;Colli della Toscana Centrale;90;70;Tuscany
01/01/2003;Italy;Montefalco Rosso;86;18;Central Italy
01/01/2004;Italy;Lago di Corbara;87;17;Central Italy
01/01/2004;France;Champagne;91;160;Champagne
01/01/2004;Italy;Brunello di Montalcino;89;120;Tuscany
01/01/2004;France;Champagne;87;46;Champagne
01/01/2004;Italy;Umbria;86;12;Central Italy
01/01/2004;Italy;Toscana;84;11;Tuscany
01/01/2004;Italy;Montescudaio;91;26;Tuscany
01/01/2004;Italy;Trebbiano d Abruzzo;93;50;Central Italy
01/01/2004;France;Corbières;90;13;Languedoc Roussillon
01/01/2004;France;Alsace;89;21;Alsace
01/01/2004;Italy;Castel del Monte;89;75;Southern Italy
01/01/2004;Italy;Barbaresco;90;42;Piedmont
01/01/2004;Italy;Bolgheri Sassicaia;97;190;Tuscany
01/01/2004;Italy;Montepulciano d Abruzzo;84;70;Central Italy
01/01/2004;Italy;Barolo;92;125;Piedmont
01/01/2004;Italy;Barolo;91;50;Piedmont
01/01/2004;Italy;Taurasi;94;60;Southern Italy
01/01/2004;Italy;Castel del Monte;88;44;Southern Italy
01/01/2004;Italy;Barolo;90;90;Piedmont
01/01/2004;France;Champagne;97;305;Champagne
01/01/2004;Italy;Salice Salentino;87;12;Southern Italy
01/01/2004;Italy;Bolgheri;91;26;Tuscany
01/01/2004;Italy;Amarone della Valpolicella Classico;91;60;Veneto
01/01/2004;Italy;Toscana;94;130;Tuscany
01/01/2004;France;Côtes de Provence;89;42;Provence
01/01/2004;France;Vouvray;90;20;Loire Valley
01/01/2004;Italy;Brunello di Montalcino;89;45;Tuscany
01/01/2004;Italy;Toscana;92;60;Tuscany
01/01/2004;Italy;Trentino;89;18;Northeastern Italy
01/01/2004;France;Champagne;91;48;Champagne
01/01/2004;Italy;Toscana;84;11;Tuscany
01/01/2004;Italy;Barbaresco;85;45;Piedmont
01/01/2004;Italy;Castel del Monte;90;33;Southern Italy
01/01/2004;Italy;Toscana;93;85;Tuscany
01/01/2004;Italy;Langhe;89;27;Piedmont
01/01/2004;Italy;Barolo;93;140;Piedmont
01/01/2004;Italy;Civitella d Agliano;90;20;Central Italy
01/01/2004;Italy;Toscana;92;49;Tuscany
01/01/2004;Italy;Sagrantino di Montefalco;87;50;Central Italy
01/01/2004;Italy;Sant Antimo;91;41;Tuscany
01/01/2004;Italy;Sicilia;87;46;Sicily & Sardinia
01/01/2004;Italy;Veneto;91;52;Veneto
01/01/2004;Italy;Trento;91;32;Northeastern Italy
01/01/2004;Italy;Barolo;94;90;Piedmont
01/01/2004;Italy;Sant Antimo;95;75;Tuscany
01/01/2004;Italy;Brunello di Montalcino;95;120;Tuscany
01/01/2004;France;Vin Mousseux;83;16;France Other
01/01/2004;Italy;Montepulciano d Abruzzo;90;39;Central Italy
01/01/2004;France;Pouilly Fumé;92;99;Loire Valley
01/01/2004;France;Champagne;94;90;Champagne
01/01/2004;Italy;Montescudaio;93;42;Tuscany
01/01/2004;Italy;Brunello di Montalcino;92;74;Tuscany
01/01/2004;Italy;Amarone della Valpolicella;94;106;Veneto
01/01/2004;France;Alsace;92;80;Alsace
01/01/2004;Italy;Bolgheri;86;40;Tuscany
01/01/2004;Italy;Toscana;93;60;Tuscany
01/01/2004;Italy;Verdicchio dei Castelli di Jesi Classico Superiore;89;22;Central Italy
01/01/2004;Italy;Toscana;90;25;Tuscany
01/01/2004;Italy;Toscana;88;42;Tuscany
01/01/2004;Italy;Toscana;87;20;Tuscany
01/01/2004;France;Champagne;90;66;Champagne
01/01/2004;Italy;Barbera d Asti Superiore;87;26;Piedmont
01/01/2004;Italy;Maremma;94;60;Tuscany
01/01/2004;France;Corbières;84;11;Languedoc Roussillon
01/01/2004;Italy;Vin Santo del Chianti Classico;92;65;Tuscany
01/01/2004;France;Champagne;94;50;Champagne
01/01/2004;Italy;Bolgheri;86;14;Tuscany
01/01/2004;Italy;Brunello di Montalcino;87;65;Tuscany
01/01/2004;Italy;Barolo;91;90;Piedmont
01/01/2004;Italy;Sicilia;84;13;Sicily & Sardinia
01/01/2004;Italy;Toscana;92;40;Tuscany
01/01/2004;Italy;Barolo;94;117;Piedmont
01/01/2004;Italy;Vino Spumante;85;25;Italy Other
01/01/2004;Italy;Maremma;86;24;Tuscany
01/01/2004;Italy;Franciacorta;91;51;Lombardy
01/01/2004;Italy;Toscana;89;35;Tuscany
01/01/2004;Italy;Chianti Classico;91;50;Tuscany
01/01/2004;Italy;Gattinara;90;59;Piedmont
01/01/2004;Italy;Barolo;90;90;Piedmont
01/01/2004;Italy;Chianti Classico;88;46;Tuscany
01/01/2004;Italy;Veneto;88;30;Veneto
01/01/2004;France;Champagne;91;82;Champagne
01/01/2004;Italy;Montepulciano d Abruzzo;87;14;Central Italy
01/01/2004;Italy;Brunello di Montalcino;93;80;Tuscany
01/01/2004;Italy;Sant Antimo;93;81;Tuscany
01/01/2004;Italy;Bolgheri Superiore;90;45;Tuscany
01/01/2004;Italy;Taurasi;89;39;Southern Italy
01/01/2004;Italy;Aglianico del Vulture;92;73;Southern Italy
01/01/2004;Italy;Veronese;93;90;Veneto
01/01/2004;France;Champagne;90;69;Champagne
01/01/2004;Italy;Barolo;88;45;Piedmont
01/01/2004;Italy;Brunello di Montalcino;87;65;Tuscany
01/01/2004;France;Champagne;94;80;Champagne
01/01/2005;France;Saint Joseph;86;34;Rhône Valley
01/01/2005;Italy;Salice Salentino;86;14;Southern Italy
01/01/2005;Italy;Amarone della Valpolicella Classico;93;70;Veneto
01/01/2005;France;Cahors;88;9;Southwest France
01/01/2005;France;Champagne;92;72;Champagne
01/01/2005;Italy;Montefalco;84;28;Central Italy
01/01/2005;France;Beaune;93;75;Burgundy
01/01/2005;Italy;Barolo;91;50;Piedmont
01/01/2005;France;Vin de Pays Var;87;18;Provence
01/01/2005;France;Vosne Romanée;93;125;Burgundy
01/01/2005;Italy;Sicilia;91;39;Sicily & Sardinia
01/01/2005;Italy;Bolgheri;92;70;Tuscany
01/01/2005;Italy;Toscana;88;25;Tuscany
01/01/2005;France;Chablis;93;86;Burgundy
01/01/2005;France;Volnay;92;95;Burgundy
01/01/2005;France;Arbois;90;70;France Other
01/01/2005;Italy;Barolo;93;58;Piedmont
01/01/2005;Italy;Salento;86;10;Southern Italy
01/01/2005;France;;89;16;Languedoc Roussillon
01/01/2005;Italy;Barbera d Alba;87;17;Piedmont
01/01/2005;Italy;Salento;81;14;Southern Italy
01/01/2005;Italy;Amarone della Valpolicella Classico;94;135;Veneto
01/01/2005;Italy;Dolcetto d Alba;86;21;Piedmont
01/01/2005;France;Buzet;88;17;Southwest France
01/01/2005;Italy;Salento;90;34;Southern Italy
01/01/2005;France;Coteaux Varois;86;13;Provence
01/01/2005;Italy;Colli Orientali del Friuli;91;75;Northeastern Italy
01/01/2005;Italy;Toscana;88;24;Tuscany
01/01/2005;Italy;Sicilia;90;40;Sicily & Sardinia
01/01/2005;Italy;Amarone della Valpolicella Classico;91;60;Veneto
01/01/2005;Italy;Venezia Giulia;94;120;Northeastern Italy
01/01/2005;France;Minervois La Liviniere;88;36;Languedoc Roussillon
01/01/2005;Italy;Bardolino Classico Superiore;86;13;Veneto
01/01/2005;Italy;Asti;90;90;Piedmont
01/01/2005;France;Vin de Pays d Oc;81;13;Languedoc Roussillon
01/01/2005;France;Cornas;93;78;Rhône Valley
01/01/2005;France;Pouilly Fumé;88;25;Loire Valley
01/01/2005;Italy;Veronese;90;49;Veneto
01/01/2005;France;Chablis;93;60;Burgundy
01/01/2005;Italy;Brunello di Montalcino;88;65;Tuscany
01/01/2005;France;Champagne;91;65;Champagne
01/01/2005;Italy;Montepulciano d Abruzzo;87;40;Central Italy
01/01/2005;Italy;Vernaccia di San Gimignano;85;15;Tuscany
01/01/2005;Italy;Toscana;92;80;Tuscany
01/01/2005;Italy;Colline Novaresi;86;18;Piedmont
01/01/2005;Italy;Orcia;90;175;Tuscany
01/01/2005;Italy;Calabria;88;21;Southern Italy
01/01/2005;Italy;Aglianico del Vulture;90;35;Southern Italy
01/01/2005;France;Chablis;92;70;Burgundy
01/01/2005;France;Alsace;91;31;Alsace
01/01/2005;Italy;Isola dei Nuraghi;90;80;Sicily & Sardinia
01/01/2005;Italy;Monteregio di Massa Marittima;90;30;Tuscany
01/01/2005;Italy;Dolcetto d Alba;89;32;Piedmont
01/01/2005;France;Chablis;90;40;Burgundy
01/01/2005;France;Languedoc;90;50;Languedoc Roussillon
01/01/2005;Italy;Sicilia;92;52;Sicily & Sardinia
01/01/2005;Italy;Toscana;91;65;Tuscany
01/01/2005;Italy;Strevi;89;60;Piedmont
01/01/2005;France;Beaune;93;90;Burgundy
01/01/2005;France;Champagne;92;67;Champagne
01/01/2005;Italy;Val di Neto;88;33;Southern Italy
01/01/2005;Italy;Veneto;90;30;Veneto
01/01/2005;Italy;Toscana;91;45;Tuscany
01/01/2005;France;Champagne;90;70;Champagne
01/01/2005;Italy;Brunello di Montalcino;88;90;Tuscany
01/01/2005;Italy;Barbaresco;93;60;Piedmont
01/01/2005;France;Champagne;88;72;Champagne
01/01/2005;Italy;Barolo;88;78;Piedmont
01/01/2005;Italy;Trentino;86;11;Northeastern Italy
01/01/2005;Italy;Sicilia;91;67;Sicily & Sardinia
01/01/2005;France;Puligny Montrachet;93;115;Burgundy
01/01/2005;Italy;Campania;88;150;Southern Italy
01/01/2005;Italy;Barbaresco;91;40;Piedmont
01/01/2005;Italy;Barbera d Alba;88;18;Piedmont
01/01/2005;Italy;Umbria;84;8;Central Italy
01/01/2005;Italy;Fiano di Avellino;90;41;Southern Italy
01/01/2005;Italy;Sicilia;91;55;Sicily & Sardinia
01/01/2005;Italy;Valpolicella Classico Superiore;84;40;Veneto
01/01/2005;Italy;Franciacorta;91;69;Lombardy
01/01/2005;Italy;Chianti Rufina;87;18;Tuscany
01/01/2005;France;Menetou Salon;85;25;Loire Valley
01/01/2005;France;Chambolle Musigny;95;95;Burgundy
01/01/2005;France;Chambolle Musigny;91;62;Burgundy
01/01/2005;France;Alsace;95;90;Alsace
01/01/2005;France;Champagne;84;200;Champagne
01/01/2005;Italy;Bolgheri;87;28;Tuscany
01/01/2005;Italy;Toscana;87;17;Tuscany
01/01/2005;Italy;Barolo;91;100;Piedmont
01/01/2005;Italy;Barolo;94;155;Piedmont
01/01/2005;Italy;Molise;83;18;Southern Italy
01/01/2005;France;Saint Émilion;85;17;Bordeaux
01/01/2005;France;Chablis;92;32;Burgundy
01/01/2005;France;Chablis;90;30;Burgundy
01/01/2005;Italy;Toscana;90;78;Tuscany
01/01/2005;Italy;Valpolicella Classico Superiore;86;17;Veneto
01/01/2005;France;Jurançon Sec;90;30;Southwest France
01/01/2005;France;Banyuls;86;26;Languedoc Roussillon
01/01/2005;Italy;Montepulciano d Abruzzo;85;17;Central Italy
01/01/2005;Italy;Chianti Classico;90;28;Tuscany
01/01/2005;Italy;Sicilia;90;40;Sicily & Sardinia
01/01/2005;Italy;Amarone della Valpolicella Classico;93;62;Veneto
01/01/2005;Italy;Torgiano;92;57;Central Italy
01/01/2005;Italy;Brunello di Montalcino;88;90;Tuscany
01/01/2005;France;Champagne;96;595;Champagne
01/01/2005;Italy;Chianti Classico;89;38;Tuscany
01/01/2005;Italy;Sicilia;87;21;Sicily & Sardinia
01/01/2005;France;Fleurie;91;22;Beaujolais
01/01/2005;France;Aloxe Corton;88;60;Burgundy
01/01/2005;Italy;Alto Adige;90;28;Northeastern Italy
01/01/2005;France;Bordeaux Supérieur;85;60;Bordeaux
01/01/2005;Italy;Orvieto;86;16;Central Italy
01/01/2005;Italy;Barolo;92;58;Piedmont
01/01/2005;Italy;Toscana;93;70;Tuscany
01/01/2005;Italy;Coda di Volpe d Irpinia;85;14;Southern Italy
01/01/2005;Italy;Toscana;86;15;Tuscany
01/01/2005;Italy;Sicilia;88;48;Sicily & Sardinia
01/01/2005;Italy;Venezia Giulia;93;120;Northeastern Italy
01/01/2005;Italy;Collio;89;30;Northeastern Italy
01/01/2005;Italy;Barbaresco;91;100;Piedmont
01/01/2005;France;Premieres Côtes de Blaye;90;70;Bordeaux
01/01/2005;Italy;Toscana;95;80;Tuscany
01/01/2005;Italy;Barbera d Alba;90;26;Piedmont
01/01/2005;Italy;Toscana;88;17;Tuscany
01/01/2005;France;Meursault;91;93;Burgundy
01/01/2005;France;Beaune;94;85;Burgundy
01/01/2005;Italy;Amarone della Valpolicella Classico;88;33;Veneto
01/01/2005;Italy;Brunello di Montalcino;94;55;Tuscany
01/01/2005;France;Chablis;92;32;Burgundy
01/01/2005;France;Crémant de Bourgogne;90;25;Burgundy
01/01/2005;France;Fronsac;92;19;Bordeaux
01/01/2005;Italy;Sant Antimo;91;68;Tuscany
01/01/2005;France;Beaune;85;105;Burgundy
01/01/2005;Italy;Etna;91;45;Sicily & Sardinia
01/01/2005;France;Côtes du Roussillon;91;39;Languedoc Roussillon
01/01/2005;Italy;Toscana;86;20;Tuscany
01/01/2005;Italy;Toscana;88;12;Tuscany
01/01/2005;France;Chassagne Montrachet;92;115;Burgundy
01/01/2005;Italy;Sicilia;86;13;Sicily & Sardinia
01/01/2005;France;Haut Médoc;89;27;Bordeaux
01/01/2005;Italy;Toscana;95;275;Tuscany
01/01/2005;Italy;Barolo;94;43;Piedmont
01/01/2005;Italy;Etna;82;25;Sicily & Sardinia
01/01/2005;France;Limoux;92;21;Languedoc Roussillon
01/01/2005;Italy;Barolo;95;165;Piedmont
01/01/2005;Italy;Barbaresco;90;55;Piedmont
01/01/2005;Italy;Umbria;93;52;Central Italy
01/01/2005;Italy;Primitivo del Salento;84;11;Southern Italy
01/01/2005;Italy;Brunello di Montalcino;91;60;Tuscany
01/01/2005;Italy;Sicilia;91;80;Sicily & Sardinia
01/01/2005;Italy;Toscana;88;65;Tuscany
01/01/2005;Italy;Amarone della Valpolicella Classico;91;80;Veneto
01/01/2005;France;Beaune;92;65;Burgundy
01/01/2005;Italy;Colli della Toscana Centrale;93;83;Tuscany
01/01/2006;France;Muscadet Sèvre et Maine;92;20;Loire Valley
01/01/2006;Italy;Terre di Franciacorta;88;61;Lombardy
01/01/2006;Italy;Barolo;93;175;Piedmont
01/01/2006;Italy;Barbera d Asti Superiore;86;10;Piedmont
01/01/2006;France;Champagne;94;70;Champagne
01/01/2006;Italy;Barolo;93;65;Piedmont
01/01/2006;France;Sancerre;86;26;Loire Valley
01/01/2006;Italy;Brunello di Montalcino;91;79;Tuscany
01/01/2006;Italy;Calabria;90;55;Southern Italy
01/01/2006;Italy;Greco di Tufo;87;25;Southern Italy
01/01/2006;France;Médoc;87;40;Bordeaux
01/01/2006;France;Saint Émilion;88;48;Bordeaux
01/01/2006;Italy;Dolcetto d Alba;86;18;Piedmont
01/01/2006;Italy;Chianti Classico;91;31;Tuscany
01/01/2006;Italy;Brunello di Montalcino;93;94;Tuscany
01/01/2006;Italy;Brunello di Montalcino;90;79;Tuscany
01/01/2006;France;Saint Émilion;89;50;Bordeaux
01/01/2006;France;Gaillac;91;23;Southwest France
01/01/2006;Italy;Nebbiolo d Alba;87;61;Piedmont
01/01/2006;France;Champagne;93;130;Champagne
01/01/2006;Italy;Sicilia;87;13;Sicily & Sardinia
01/01/2006;Italy;Barolo;91;100;Piedmont
01/01/2006;Italy;Valpolicella Classico Superiore;86;16;Veneto
01/01/2006;Italy;Amarone della Valpolicella;88;45;Veneto
01/01/2006;Italy;Sicilia;89;25;Sicily & Sardinia
01/01/2006;France;Margaux;84;25;Bordeaux
01/01/2006;Italy;Brunello di Montalcino;95;150;Tuscany
01/01/2006;Italy;Marca Trevigiana;87;24;Veneto
01/01/2006;Italy;Venezia Giulia;91;85;Northeastern Italy
01/01/2006;Italy;Brunello di Montalcino;89;80;Tuscany
01/01/2006;Italy;Brunello di Montalcino;93;62;Tuscany
01/01/2006;Italy;Trentino;86;11;Northeastern Italy
01/01/2006;Italy;Colli Orientali del Friuli;91;23;Northeastern Italy
01/01/2006;Italy;Toscana;90;45;Tuscany
01/01/2006;Italy;Etna;90;43;Sicily & Sardinia
01/01/2006;Italy;Brunello di Montalcino;94;106;Tuscany
01/01/2006;Italy;Emilia Romagna;88;32;Central Italy
01/01/2006;France;Chablis;93;67;Burgundy
01/01/2006;Italy;Brunello di Montalcino;89;90;Tuscany
01/01/2006;Italy;Montepulciano d Abruzzo;86;19;Central Italy
01/01/2006;France;Puligny Montrachet;94;273;Burgundy
01/01/2006;Italy;Colli Orientali del Friuli;85;22;Northeastern Italy
01/01/2006;Italy;Barbaresco;92;69;Piedmont
01/01/2006;Italy;Brunello di Montalcino;94;75;Tuscany
01/01/2006;Italy;Vino da Tavola;85;25;Italy Other
01/01/2006;Italy;Colli Orientali del Friuli;86;25;Northeastern Italy
01/01/2006;Italy;Vernaccia di San Gimignano;86;17;Tuscany
01/01/2006;France;Vin de Pays du Val de Cesse;87;15;Languedoc Roussillon
01/01/2006;Italy;Barolo;91;65;Piedmont
01/01/2006;Italy;Brunello di Montalcino;90;50;Tuscany
01/01/2006;France;Beaune;89;55;Burgundy
01/01/2006;Italy;Barbera d Alba Superiore;89;52;Piedmont
01/01/2006;Italy;Aglianico del Taburno;87;24;Southern Italy
01/01/2006;Italy;Brunello di Montalcino;91;45;Tuscany
01/01/2006;Italy;Sicilia;87;28;Sicily & Sardinia
01/01/2006;Italy;Val di Neto;87;30;Southern Italy
01/01/2006;Italy;Alto Adige;89;39;Northeastern Italy
01/01/2006;Italy;Brunello di Montalcino;97;152;Tuscany
01/01/2006;Italy;Prosecco di Conegliano e Valdobbiadene;86;21;Veneto
01/01/2006;France;Haut Médoc;90;40;Bordeaux
01/01/2006;Italy;Greco di Tufo;88;24;Southern Italy
01/01/2006;Italy;Brunello di Montalcino;93;49;Tuscany
01/01/2006;France;Châteauneuf du Pape;85;52;Rhône Valley
01/01/2006;Italy;Sicilia;88;19;Sicily & Sardinia
01/01/2006;Italy;Colli Orientali del Friuli;87;21;Northeastern Italy
01/01/2006;Italy;Prosecco di Valdobbiadene;88;25;Veneto
01/01/2006;Italy;Chianti Classico;90;169;Tuscany
01/01/2006;Italy;Franciacorta;87;30;Lombardy
01/01/2006;France;Arbois;89;70;France Other
01/01/2006;France;Côtes du Jura;87;56;France Other
01/01/2006;France;Cahors;90;40;Southwest France
01/01/2006;France;Muscadet Côtes de Grandlieu;92;20;Loire Valley
01/01/2006;Italy;Barbera d Alba;87;17;Piedmont
01/01/2006;France;Coteaux d Aix en Provence;85;18;Provence
01/01/2006;Italy;Puglia;86;9;Southern Italy
01/01/2006;Italy;Colli di Conegliano;87;18;Veneto
01/01/2006;Italy;Trento;91;59;Northeastern Italy
01/01/2006;Italy;Barolo;94;109;Piedmont
01/01/2006;Italy;Brunello di Montalcino;93;52;Tuscany
01/01/2006;France;Chablis;90;34;Burgundy
01/01/2006;France;Chablis;91;67;Burgundy
01/01/2006;France;Gaillac;90;20;Southwest France
01/01/2006;Italy;Chianti Classico;91;45;Tuscany
01/01/2006;Italy;Sicilia;90;30;Sicily & Sardinia
01/01/2006;Italy;Brunello di Montalcino;94;85;Tuscany
01/01/2006;Italy;Sicilia;84;14;Sicily & Sardinia
